IATA,ICAO,Airport
XTL,CYBQ,Tadoule Lake
XTO,YTAM,Taroom Airport
XUZ,ZSXZ,Xuzhou Airport
XXG,LFQF,Autun - Bellevue Airport
XYE,VYYE,Ye
YAA,CAJ4,Anahim Lake
YAC,CYAC,Cat Lake
YAG,CYAG,Ft Frances Mun
YAI,SCCH,Gen. Bernardo O'higgins
YAK,PAYA,Yakutat Airport
YAL,CYAL,Alert Bay
YAM,CYAM,Sault Ste Marie
YAO,FKKY,Yaounde/Ville
YAP,PTYA,Yap Intl
YAT,CYAT,Attawapiskat
YAW,CYAW,Halifax-Shearwater
YAX,CKB6,Wapakeka
YAY,CYAY,St Anthony
YAZ,CYAZ,Tofino
YBB,CYBB,Pelly Bay (Town Site)
YBC,CYBC,Baie-Comeau
YBE,CYBE,Uranium City
YBG,CYBG,Bagotville
YBI,CCE4,Black Tickle
YBK,CYBK,Baker Lake
YBL,CYBL,Campbell River
YBM,CAB5,Bronson Creek
YBP,ZUYB,Yibin Airport
YBR,CYBR,Brandon Muni
YBT,CYBT,Brochet
YBV,CYBV,Berens River
YBY,CYBF,Bonnyville
YCA,CAH3,Courtenay
YCB,CYCB,Cambridge Bay
YCC,CYCC,Cornwall Regl
YCD,CYCD,Nanaimo
YCE,CYCE,Huron
YCG,CYCG,Castlegar
YCH,CYCH,Miramichi
YCK,CEB3,Colville Lake
YCL,CYCL,Charlo
YCM,CYSN,St Catharines/Niagra District
YCN,CYCN,Cochrane
YCO,CYCO,Kugluktuk
YCQ,CYCQ,Chetwynd
YCR,CYCR,Sinclair Meml
YCS,CYCS,Chesterfield Inlet
YCT,CYCT,Coronation
YCW,CYCW,Chilliwack
YCY,CYCY,Clyde River
YCZ,CYCZ,Fairmont Hot Springs
YDA,CYDA,Dawson
YDB,CYDB,Burwash
YDC,CER3,Industrial
YDF,CYDF,Deer Lake
YDG,CYID,Digby
YDI,CCB4,Davis Inlet
YDJ,CJL2,Hatchet Lake
YDL,CYDL,Dease Lake
YDN,CYDN,Barker
YDO,CYDO,Dolbeau-St-Methode
YDP,CYDP,Nain
YDQ,CYDQ,Dawson Creek
YDT,CZBB,Boundary Bay
YDU,CJL8,Kasba Lake
YDV,CZTA,Bloodvein River
YEC,RKTY,Yechon Aero
YEG,CYEG,Edmonton Intl
YEH,OIBI,Asalouyeh Airport
YEI,LTBR,Bursa Yenisehir Airport
YEK,CYEK,Arviat
YEL,CYEL,Elliot Lake Mun
YEM,CYEM,Manitoulin East Muni.
YEN,CYEN,Estevan
YER,CYER,Ft Severn
YET,CYET,Edson
YEU,CYEU,Eureka
YEV,CYEV,Zubko
YEY,CYEY,Amos Mun
YFA,CYFA,Ft Albany
YFB,CYFB,Iqaluit
YFC,CYFC,Fredericton
YFH,CYFH,Ft Hope
YFJ,CFJ2,Wekweti
YFO,CYFO,Flin Flon
YFR,CYFR,Ft Resolution
YFS,CYFS,Ft Simpson
YFX,CCK4,Fox Harbour
YGB,CYGB,Gillies Bay
YGC,CEQ5,Grande Cache
YGH,CYGH,Ft Good Hope
YGK,CYGK,Kingston
YGL,CYGL,La Grande Riviere
YGM,CYGM,Gimli Industrial Park
YGO,CYGO,Gods Lake Narrows
YGP,CYGP,Gaspe
YGQ,CYGQ,Greenstone Regl
YGR,CYGR,Iles-De-La-Madeleine
YGT,CYGT,Igloolik
YGV,CYGV,Havre St-Pierre
YGW,CYGW,Kuujjuarapik
YGX,CYGX,Gillam
YGZ,CYGZ,Grise Fiord
YHA,CCP4,Port Hope Simpson
YHB,CYHB,Hudson Bay
YHD,CYHD,Dryden Regl
YHE,CYHE,Hope
YHF,CYHF,Hearst Mun
YHG,CCH4,Charlottetown
YHI,CYHI,Holman
YHK,CYHK,Gjoa Haven
YHM,CYHM,Hamilton
YHN,CYHN,Hornepayne Mun
YHO,CYHO,Hopedale
YHR,CYHR,Chevery
YHS,CAP3,Sechelt-Gibsons
YHT,CYHT,Haines Junction
YHU,CYHU,Montreal - St-Hubert
YHY,CYHY,Hay River
YHZ,CYHZ,Halifax Intl
YIB,CYIB,Atikokan Mun
YIF,CYIF,St-Augustin
YIH,ZHYC,Yichang Airport
YIK,CYIK,Ivujivik
YIN,ZWYN,Yining Airport
YIO,CYIO,Pond Inlet
YIV,CYIV,Island Lake
YIW,ZSYW,Yiwu Airport
YJA,CEC4,Jasper-Hinton
YJF,CYJF,Ft Liard
YJN,CYJN,St-Jean
YJT,CYJT,Stephenville
YKA,CYKA,Kamloops
YKC,CYKC,Collins Bay
YKD,CNS7,Kincardine
YKF,CYKF,Kitchener/Waterloo Regl
YKG,CYAS,Kangirsuk
YKJ,CYKJ,Key Lake
YKL,CYKL,Schefferville
YKM,KYKM,Yakima Air Terminal (McAllister Field)
YKQ,CYKQ,Waskaganish
YKS,UEEE,Yakutsk Airport
YKX,CYKX,Kirkland Lake
YKY,CYKY,Kindersley
YKZ,CYKZ,Toronto - Buttonville Mun
YLB,CYLB,Lac La Biche
YLD,CYLD,Chapleau
YLE,CEM3,Wha Ti
YLH,CYLH,Lansdowne House
YLI,EFYL,Ylivieska Airport
YLJ,CYLJ,Meadow Lake
YLL,CYLL,Lloydminster
YLQ,CYLQ,La Tuque
YLR,CYLR,Leaf Rapids
YLS,CSH4,Lebel-Sur-Quevillon
YLT,CYLT,Alert
YLW,CYLW,Kelowna
YMA,CYMA,Mayo
YMB,CAD5,Merritt
YME,CYME,Matane
YMG,CYMG,Manitouwadge
YMH,CYMH,Marys Harbour
YMJ,CYMJ,Moose Jaw
YML,CYML,Charlevoix
YMM,CYMM,Ft Mc Murray
YMN,CYFT,Makkovik
YMO,CYMO,Moosonee
YMP,CAT5,Port Mc Neill
YMS,SPMS,Moises Benzaquen Rengifo
YMT,CYMT,Chapais
YMW,CYMW,Maniwaki
YMX,CYMX,Montreal Intl (Mirabel)
YNA,CYNA,Natashquan
YNB,OEYN,Yanbu Domestic Airport
YNC,CYNC,Wemindji
YND,CYND,Ottawa/Gatineau
YNE,CYNE,Norway House
YNH,CYNH,Hudson's Hope
YNJ,ZYYJ,Yanji Airport
YNL,CYNL,Points North Landing
YNM,CYNM,Matagami
YNS,CYHH,Nemiscau
YNT,ZSYT,Yantai Laishan Airport
YOC,CYOC,Old Crow
YOD,CYOD,Cold Lake
YOG,CNT3,Ogoki Post
YOH,CYOH,Oxford House
YOJ,CYOJ,High Level
YOL,DNYO,Yola
YOO,CYOO,Oshawa
YOP,CYOP,Rainbow Lake
YOS,CYOS,Billy Bishop Reg'l
YOW,CYOW,Ottawa - Macdonald-Cartier Intl
YPA,CYPA,Prince Albert
YPC,CYPC,Paulatuk
YPD,CNK4,Georgian Bay
YPE,CYPE,Peace River
YPG,CYPG,Southport
YPH,CYPH,Inukjuak
YPJ,CYLA,Aupaluk
YPL,CYPL,Pickle Lake
YPM,CYPM,Pikangikum
YPN,CYPN,Port Menier
YPO,CYPO,Peawanuck
YPQ,CYPQ,Peterborough
YPR,CYPR,Prince Rupert
YPS,CYPD,Port Hawkesbury
YPW,CYPW,Powell River
YPX,CYPX,Puvirnituq
YPY,CYPY,Ft Chipewyan
YPZ,CYPZ,Burns Lake
YQA,CYQA,Muskoka
YQB,CYQB,Quebec - Jean Lesage Intl Airport
YQC,CYHA,Quaqtaq
YQD,CYQD,The Pas
YQF,CYQF,Red Deer Industrial
YQG,CYQG,Windsor
YQH,CYQH,Watson Lake
YQI,CYQI,Yarmouth
YQK,CYQK,Kenora
YQL,CYQL,Lethbridge
YQM,CYQM,Moncton
YQN,CYQN,Nakina
YQQ,CYQQ,Comox
YQR,CYQR,Regina
YQS,CYQS,St Thomas Mun
YQT,CYQT,Thunder Bay
YQU,CYQU,Grande Prairie
YQV,CYQV,Yorkton
YQW,CYQW,North Battleford
YQX,CYQX,Gander Intl
YQY,CYQY,Sydney
YQZ,CYQZ,Quesnel
YRA,CEV4,Rae Lakes
YRB,CYRB,Resolute Bay
YRF,CYCA,Cartwright Nws
YRG,CCZ2,Rigolet
YRI,CYRI,Riviere-Du-Loup
YRJ,CYRJ,Roberval
YRL,CYRL,Red Lake
YRM,CYRM,Rocky Mountain House
YRO,CYRO,Rockcliffe
YRQ,CYRQ,Trois-Rivieres
YRS,CYRS,Red Sucker Lake
YRT,CYRT,Rankin Inlet
YRV,CYRV,Revelstoke
YSB,CYSB,Sudbury
YSC,CYSC,Sherbrooke
YSD,CYSD,Suffield
YSE,CYSE,Squamish
YSF,CYSF,Stony Rapids
YSH,CYSH,Montague
YSJ,CYSJ,Saint John
YSK,CYSK,Sanikiluaq
YSL,CYSL,St-Leonard
YSM,CYSM,Ft Smith
YSN,CZAM,Salmon Arm
YSO,CCD4,Postville
YSP,CYSP,Marathon
YSR,CYSR,Nanisivik
YST,CYST,St Theresa Point
YSU,CYSU,Summerside
YSY,CYSY,Sachs Harbour
YTA,CYTA,Pembroke
YTD,CZLQ,Thicket Portage
YTE,CYTE,Cape Dorset
YTF,CYTF,Alma
YTH,CYTH,Thompson
YTJ,CYTJ,Terrace Bay
YTL,CYTL,Big Trout Lake
YTQ,CYTQ,Tasiujaq
YTR,CYTR,Trenton
YTS,CYTS,Timmins
YTT,CJY3,Tisdale
YTX,CBM5,Telegraph Creek
YTZ,CYTZ,Toronto - City Centre
YUB,CYUB,Tuktoyaktuk
YUD,CYMU,Umiujaq
YUL,CYUL,Montreal Intl (Dorval)
YUM,ZPLX,Luxi Mangshi Airport
YUM,KYUM,Yuma Intl Airport / MCAS Yuma
YUT,CYUT,Repulse Bay
YUX,CYUX,Hall Beach
YUY,CYUY,Rouyn-Noranda
YVA,FMCN,Iconi
YVB,CYVB,Bonaventure
YVC,CYVC,La Ronge
YVE,CYVK,Vernon
YVG,CYVG,Vermilion
YVM,CYVM,Qikiqtarjuaq
YVO,CYVO,Val-D'or
YVP,CYVP,Kuujjuaq
YVQ,CYVQ,Norman Wells
YVR,CYVR,Vancouver Intl
YVT,CYVT,Buffalo Narrows
YVV,CYVV,Wiarton
YVZ,CYVZ,Deer Lake
YWA,CYWA,Petawawa
YWB,CYKG,Kangiqsujuaq Wakeham Bay
YWG,CYWG,Winnipeg Intl
YWJ,CYWJ,Deline
YWK,CYWK,Wabush
YWL,CYWL,Williams Lake
YWM,CCA6,Williams Harbour
YWP,CYWP,Webequie
YWY,CYWY,Wrigley
YXC,CYXC,Cranbrook
YXD,CYXD,Edmonton City Center
YXE,CYXE,Saskatoon/Diefenbaker
YXH,CYXH,Medicine Hat
YXJ,CYXJ,Ft St John
YXK,CYXK,Rimouski
YXL,CYXL,Sioux Lookout
YXN,CYXN,Whale Cove
YXP,CYXP,Pangnirtung
YXQ,CYXQ,Beaver Creek
YXR,CYXR,Earlton (Timiskaming Reg'l)
YXS,CYXS,Prince George
YXT,CYXT,Terrace
YXU,CYXU,London
YXX,CYXX,Abbotsford
YXY,CYXY,Whitehorse Intl
YXZ,CYXZ,Wawa
YYB,CYYB,North Bay
YYC,CYYC,Calgary Intl
YYD,CYYD,Smithers
YYE,CYYE,Ft Nelson
YYF,CYYF,Penticton
YYG,CYYG,Charlottetown
YYH,CYYH,Taloyoak
YYJ,CYYJ,Victoria Intl
YYL,CYYL,Lynn Lake
YYM,CYYM,Cowley
YYN,CYYN,Swift Current
YYQ,CYYQ,Churchill
YYR,CYYR,Goose
YYT,CYYT,St John's Intl
YYU,CYYU,Kapuskasing
YYW,CYYW,Armstrong
YYY,CYYY,Mont-Joli
YYZ,CYYZ,Toronto - Pearson Intl
YZE,CYZE,Gore Bay-Manitoulin
YZF,CYZF,Yellowknife
YZG,CYZG,Salluit
YZH,CYZH,Slave Lake
YZP,CYZP,Sandspit
YZR,CYZR,Sarnia (Hadfield)
YZS,CYZS,Coral Harbour
YZT,CYZT,Port Hardy
YZU,CYZU,Whitecourt
YZV,CYZV,Sept-Iles
YZW,CYZW,Teslin
YZX,CYZX,Greenwood
ZAC,CZAC,York Landing
ZAD,LDZD,Zadar Airport
ZAG,LDZA,Zagreb Airport
ZAH,OIZH,Zahedan Intl Airport
ZAJ,OAZJ,Zaranj
ZAL,SCVD,Pichoy
ZAM,RPMZ,Zamboanga Intl Airport
ZAO,LFCC,Cahors - Lalbenque Airport
ZAR,DNZA,Zaria
ZAT,ZPZT,Zhaotong Airport
ZAZ,LEZG,Zaragoza Airport
ZBF,CZBF,Bathurst
ZBM,CZBM,Bromont
ZBR,OIZC,Konarak Airport
ZBY,VLSB,Sayaboury
ZCL,MMZC,La Calera Airport
ZCO,SCTC,Maquehue
ZEC,FASC,Secunda
ZEL,CYJQ,Bella Bella (Denny I)
ZEM,CZEM,Eastmain River
ZER,VEZO,Zero Airport
ZFA,CZFA,Faro
ZFD,CZFD,Fond-Du-Lac
ZFM,CZFM,Ft Mc Pherson
ZFN,CZFN,Tulita
ZFW,CEB5,Fairview
ZGC,ZLLL,Lanzhou Zhongchuan Airport
ZGF,CZGF,Grand Forks
ZGI,CZGI,Gods River
ZGM,FLNA,Ngoma
ZGR,CZGR,Little Grand Rapids
ZHA,ZGZJ,Zhanjiang Airport
ZHP,CZHP,High Prairie
ZIC,SCTO,Victoria
ZIG,GOGG,Ziguinchor
ZIH,MMZH,Ixtapa-Zihuatanejo Intl Airport
ZJG,CZJG,Jenpeg
ZJN,CZJN,Swan River
ZKB,FLKY,Kasaba Bay
ZKE,CZKE,Kashechewan
ZKM,FOOS,Sette-Cama
ZKP,FLKE,Kasompe
ZLO,MMZO,Playa de Oro Intl Airport
ZLR,SCLN,Linares
ZMH,CZML,108 Mile
ZMT,CZMT,Masset
ZND,DRZR,Zinder
ZNE,YNWN,Newman Airport
ZNZ,HTZA,Kisauni
ZOS,SCJO,Canal Bajo/Carlos H Siebert
ZPB,CZPB,Sachigo Lake
ZPC,SCPC,Pucon
ZPO,CZPO,Pinehouse Lake
ZQN,NZQN,Queenstown
ZRH,LSZH,Zurich Airport
ZRJ,CZRJ,Weagamow Lake
ZSA,MYSM,San Salvador Airport (Cockburn Town Airport)
ZSJ,CZSJ,Sandy Lake
ZSS,DISS,Sassandra
ZST,CZST,Stewart
ZTH,LGZA,Zakynthos Intl Airport (Dionysios Solomos)
ZTM,CZTM,Shamattawa
ZUC,CZUC,Ignace Mun
ZUD,SCAC,Pupelde
ZUH,ZGSD,Zhuhai Intl Airport
ZUM,CZUM,Churchill Falls
ZVA,FMMN,Miandrivazo
ZVK,VLSK,Savannakhet
ZWA,FMND,Andapa
ZWL,CZWL,Wollaston Lake
ZYI,ZUZY,Zunyi Airport
ZYL,VGSY,Osmani Intl Airport
ZZE,LYUZ,Uzice Airport
ZZU,FWUU,Mzuzu
